Property_Name,Prop_no,Own_name,Total_tan,Total_pay,Pay_Rec,Pm_email,Mode_pay,Total_expe
Placio Paradise,PM020,Navneet Chhabra,7459,542612,65113.44,mayank.singh@placio.in,cash ,"9,201.00"
Placio Ashoka Inn,PM024,,7423,265478,31857.36,rakesh.mishra@placio.in,online,"10,596.33"
Placio Pearl,PF017,Harsh,6532,458761,55051.32,mayank.singh@placio.in,card,"59,512.33"
Placio Sangam Residency,PF028,,1254,325647,39077.64,mayank.singh@placio.in,cash ,"9,201.00"
Placio Lily,PF010,,4257,542612,65113.44,rajni.bhola@placio.in,card,"10,596.33"
Placio Oasis 3,PF022,Shiv shakti,9856,265478,31857.36,mayank.singh@placio.in,cash ,"59,512.33"
Placio Pride Stay,PM025,,3215,458761,55051.32,,cash ,"9,201.00"
Placio JP House,PM013,Anjali Verma,8546,325647,39077.64,bharat.bhooshan@placio.in,cash ,"10,596.33"
Placio Crystal Homez,PF034,MANJU SHARMA,7596,542612,65113.44,,online,"59,512.33"
Placio Oasis 2,PF021,,1246,265478,31857.36,mayank.singh@placio.in,card,"9,201.00"
Placio Vidhya Niwas 1,PF018,,4122,458761,55051.32,mayank.singh@placio.in,cash ,"10,596.33"
Placio Orchid,PF013,Shikha Patil,5542,325647,39077.64,krishna.paul@placio.in,card,"59,512.33"
Placio Oasis 4,PF023,Deepak Dagar,552,542612,65113.44,krishna.paul@placio.in,cash ,"9,201.00"
Placio Half Penny Residency,PF030,Prabhat Kishor Sharan,5522,265478,31857.36,,cash ,"10,596.33"
Placio Rose,,,5524,458761,55051.32,mayank.singh@placio.in,cash ,"59,512.33"
Placio Jasmine,PF025,,1286,325647,39077.64,mayank.singh@placio.in,online,"9,201.00"
Placio Garima PG,PF024,,7423,542612,65113.44,mayank.singh@placio.in,card,"10,596.33"
Placio Castle,PM012,,6532,265478,31857.36,monu.kashyap@placio.in,cash ,"59,512.33"
Placio Prestige Living,PM002,,1254,458761,55051.32,sachin.sharma@placio.in,card,"9,201.00"
Placio Yash Homes,PM021,,4257,325647,39077.64,monu.kashyap@placio.in,cash ,"10,596.33"
Placio Prime Living,PM003,,9856,542612,65113.44,sachin.sharma@placio.in,cash ,"59,512.33"
Placio The Nest-Venus 2,PM009,,3215,265478,31857.36,rcrahul1988@gmail.com,cash ,"9,201.00"
Placio Oasis 1,PM023,,8546,458761,55051.32,mayank.singh@placio.in,online,"10,596.33"
Placio Wadhwani,PMI05,,7596,325647,39077.64,,card,"59,512.33"
Placio Pride,PFI03,,1246,542612,65113.44,,cash ,"9,201.00"
Placio Oasis 5,PM027,,4122,265478,31857.36,mayank.singh@placio.in,card,"10,596.33"
Placio Campus PG 2,PF027,,5542,458761,55051.32,mayank.singh@placio.in,cash ,"59,512.33"
Placio Campus PG 1,PF026,,552,325647,39077.64,mayank.singh@placio.in,cash ,"9,201.00"
Placio Nirmal Residency,PF015,Rashmi Manchanda,5522,542612,65113.44,mayank.singh@placio.in,cash ,"10,596.33"
Placio Admire 2,PM022,Rahul Chauhan,5524,265478,31857.36,rcrahul1988@gmail.com,online,"59,512.33"
Placio Campus PG 3,,,552,458761,55051.32,mayank.singh@placio.in,card,"9,201.00"
Bird House 1,,Ateev bharadwaj,5522,325647,39077.64,rupinder.kaur@placio.in,cash ,"10,596.33"
Bird House 2,,Ateev bharadwaj,5524,549865,65983.8,,card,"59,512.33"
